"","full_name","name","id","spkid","orbit_id","class","price","profit","spec_B","dv","a","q","e","i","H","moid","moid_ld","moid_jup","BV","UB","epoch","epoch_cal","epoch_mjd","om","n","est_diameter","rms","closeness","per","equinox","albedo","score","tp","n_obs_used","ma","pdes","ad","neo","pha","spec_T","IR","diameter"
"1","1 Ceres","Ceres","a0000001",2000001,"34","MBA",8123022111651.3,522924215944.277,"C",NA,2.76916514634948,2.55868359623068,0.0760090276292367,10.5940673259029,3.34,1.59478,620.6405326,2.09753,0.713,0.426,2458600.5,20190427,58600,80.3055308409398,0.213885226856423,NA,0.36954,2640.08022418628,1683.14570057548,"J2000",0.09,132.024011209314,2458238.75412875,5993,77.3720977376821,"1",2.97964669646827,"N","N","G",NA,939.4
"2","2 Pallas","Pallas","a0000002",2000002,"34","MBA",1778134717223.65,114544028871.987,"B",NA,2.77246592281575,2.13386496007724,0.230336812251939,34.8362346055791,4.13,1.23324,479.9400108,1.85493,0.635,0.284,2458600.5,20190427,58600,173.080061827695,0.213503376995055,NA,0.35911,2641.82349722356,1686.15599934206,"J2000",0.101,132.111174861178,2458320.88320038,8441,59.6991309840538,"2",3.41106688555426,"N","N","B",NA,545
"3","3 Juno","Juno","a0000003",2000003,"107","MBA",2.70833333333333e-44,1.74643764152265e-45,"Sk",NA,2.66914951564911,1.98333206008703,0.256942314973798,12.9889194392385,5.33,1.03454,402.6119318,2.18657,0.824,0.433,2458600.5,20190427,58600,169.852754803753,0.226018881238213,NA,0.31378,2644.52071857578,1592.7872840879,"J2000",0.214,5.41666666666667e-56,2458445.97742739,7010,34.9250189865009,"3",3.35496697121118,"N","N","S",NA,246.596
"4","4 Vesta","Vesta","a0000004",2000004,"34","MBA",2.64541666666667e-43,1.70927041382339e-44,"V",NA,2.36141789587728,2.15190945364305,0.0887214595095618,7.14177081187343,3.2,1.13948,443.4514316,2.46988,0.782,0.492,2458600.5,20190427,58600,103.810804427096,0.271609401531315,NA,0.39592,2649.79755802652,1325.43276473622,"J2000",0.4228,5.29083333333333e-55,2458247.55958019,9325,95.8619362001768,"4",2.57092633811151,"N","N","V",NA,525.4
"5","5 Astraea","Astraea","a0000005",2000005,"107","MBA",2.885e-45,1.86108680862894e-46,"S",NA,2.57424891828596,2.0823240496395,0.191094522814835,5.36698817793624,6.85,1.09589,426.4875113,1.9604,0.826,0.411,2458600.5,20190427,58600,141.576595722051,0.23863177163456,NA,0.49752,2645.55514683491,1508.60045807858,"J2000",0.274,5.77e-57,2458925.82846823,2695,282.36629126204,"5",3.06617378693241,"N","N","S",NA,106.699
"6","6 Hebe","Hebe","a0000006",2000006,"85","MBA",1.416e-44,9.1475126981123e-46,"S",NA,2.42515999086816,1.93283528016974,0.203007105738281,14.7379006815733,5.71,0.973965,379.03795905,2.6358,0.822,0.399,2458600.5,20190427,58600,138.64020408606,0.260971740274011,NA,0.39825,2649.32826676411,1379.45970556817,"J2000",0.2679,2.832e-56,2458270.20400091,5986,86.1979216869215,"6",2.91748470156658,"N","N","S",NA,185.18
"7","7 Iris","Iris","a0000007",2000007,"108","MBA",1.39357142857143e-44,9.00751202990422e-46,"S",NA,2.38533381395173,1.83383082935513,0.23120578820913,5.52365143813313,5.51,0.8461,329.276737,2.47021,0.855,0.484,2458600.5,20190427,58600,259.563232638028,0.267534827919421,NA,0.36591,2650.7674106458,1345.61919582458,"J2000",0.2766,2.78714285714286e-56,2458075.63504521,5110,140.419655360394,"7",2.93683679854833,"N","N","S",NA,199.83
"8","10 Hygiea","Hygiea","a0000010",2000010,"90","MBA",750199859282.025,48170187677.3701,"C",NA,3.14153917847631,2.78823961585673,0.112460657832996,3.83156026084439,5.43,1.77839,692.0960363,1.53558,0.696,0.351,2458600.5,20190427,58600,283.202166356786,0.177006964157215,NA,0.53109,2633.28196994625,2033.81828344479,"J2000",0.0717,131.684098497312,2457740.73241082,3341,152.184850842261,"10",3.49483874109588,"N","N","C",NA,407.12
"9","11 Parthenope","Parthenope","a0000011",2000011,"102","MBA",5.63777777777778e-45,3.63957429243679e-46,"Sk",NA,2.45310938059135,2.2066399303386,0.100472262754681,4.629886722119,6.55,1.19322,464.3654274,2.54671,0.837,0.417,2458600.5,20190427,58600,125.546585122269,0.256524413946747,NA,0.44295,2647.51628927934,1403.37519716441,"J2000",0.191,1.12755555555556e-56,2458916.52962612,5420,278.930685368802,"11",2.6995788308441,"N","N","S",NA,142.887
"10","12 Victoria","Victoria","a0000012",2000012,"112","MBA",9.639e+09,623297783.301658,"L",NA,2.33431508926564,1.82036527884324,0.220171566720276,8.37307433147402,7.24,0.824953,321.04695901,2.43133,0.874,0.515,2458600.5,20190427,58600,235.410183526257,0.276353429097886,NA,0.5201,2651.91504754812,1302.67969236049,"J2000",0.163,132.615030377406,2458118.01679634,2823,133.335887813963,"12",2.84826489968803,"N","N","S",NA,115.087
