0,Nairobi  Kenya,NA,3,-1.275,36.815,1651,"Data Version: 3.7 / Type: Timeseries / LatLon Resolution: 0.010 / Time Resolution: 60 minutes / Averaging Method: End of Period / TD: No / Copyright 2010-2023 Clean Power Research®, L.L.C. DownloadID=acc90ca0-d60c-4e01-b647-fc170cc3cadf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2)),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2010,01:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,17,,,,,,93,,,,,,,,,2,,,,,,,,,,,,,,,0.12,,,,,,
01/01/2010,02:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,17,,,,,,94,,,,,,,,,2,,,,,,,,,,,,,,,0.12,,,,,,
01/01/2010,03:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,16,,,,,,96,,,,,,,,,2,,,,,,,,,,,,,,,0.12,,,,,,
01/01/2010,04:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,16,,,,,,97,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,05:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,16,,,,,,98,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,06:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,16,,,,,,96,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,07:00,,,17,2,,40,2,,17,2,,,,,,,,,,,,,,,,,,,,17,,,,,,93,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,08:00,,,138,2,,184,2,,97,2,,,,,,,,,,,,,,,,,,,,17,,,,,,89,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,09:00,,,390,2,,501,2,,166,2,,,,,,,,,,,,,,,,,,,,19,,,,,,81,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,10:00,,,615,2,,667,2,,187,2,,,,,,,,,,,,,,,,,,,,20,,,,,,75,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,11:00,,,682,2,,438,2,,335,2,,,,,,,,,,,,,,,,,,,,20,,,,,,69,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,12:00,,,751,2,,397,2,,397,2,,,,,,,,,,,,,,,,,,,,22,,,,,,61,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,13:00,,,957,2,,717,2,,291,2,,,,,,,,,,,,,,,,,,,,24,,,,,,54,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,14:00,,,826,2,,518,2,,358,2,,,,,,,,,,,,,,,,,,,,26,,,,,,50,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,15:00,,,824,2,,682,2,,266,2,,,,,,,,,,,,,,,,,,,,26,,,,,,51,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,16:00,,,541,2,,357,2,,299,2,,,,,,,,,,,,,,,,,,,,26,,,,,,54,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,17:00,,,402,2,,395,2,,208,2,,,,,,,,,,,,,,,,,,,,24,,,,,,61,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,18:00,,,142,2,,107,2,,113,2,,,,,,,,,,,,,,,,,,,,22,,,,,,70,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,19:00,,,21,2,,21,2,,20,2,,,,,,,,,,,,,,,,,,,,21,,,,,,76,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,20:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,20,,,,,,81,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,21:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,19,,,,,,85,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,22:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,19,,,,,,85,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/01/2010,23:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,18,,,,,,88,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,00:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,18,,,,,,94,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,01:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,17,,,,,,95,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,02:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,17,,,,,,93,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,03:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,17,,,,,,93,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,04:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,17,,,,,,92,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,05:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,17,,,,,,93,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,06:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,17,,,,,,94,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,07:00,,,14,2,,36,2,,14,2,,,,,,,,,,,,,,,,,,,,17,,,,,,93,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,08:00,,,158,2,,263,2,,100,2,,,,,,,,,,,,,,,,,,,,17,,,,,,89,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,09:00,,,330,2,,389,2,,157,2,,,,,,,,,,,,,,,,,,,,18,,,,,,82,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,10:00,,,510,2,,379,2,,267,2,,,,,,,,,,,,,,,,,,,,19,,,,,,79,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,11:00,,,639,2,,347,2,,364,2,,,,,,,,,,,,,,,,,,,,20,,,,,,74,,,,,,,,,1,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,12:00,,,689,2,,358,2,,370,2,,,,,,,,,,,,,,,,,,,,22,,,,,,67,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,13:00,,,714,2,,348,2,,391,2,,,,,,,,,,,,,,,,,,,,23,,,,,,63,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,14:00,,,888,2,,646,2,,304,2,,,,,,,,,,,,,,,,,,,,23,,,,,,59,,,,,,,,,3,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,15:00,,,821,2,,644,2,,293,2,,,,,,,,,,,,,,,,,,,,24,,,,,,55,,,,,,,,,3,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,16:00,,,348,2,,153,2,,244,2,,,,,,,,,,,,,,,,,,,,24,,,,,,53,,,,,,,,,4,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,17:00,,,196,2,,26,2,,183,2,,,,,,,,,,,,,,,,,,,,24,,,,,,54,,,,,,,,,4,,,,,,,,,,,,,,,0.13,,,,,,
01/02/2010,18:00,,,73,2,,3,2,,72,2,,,,,,,,,,,,,,,,,,,,22,,,,,,62,,,,,,,,,2,,,,,,,,,,,,,,,0.13,,,,,,
