0,Victoria  Seychelles,NA,4,-4.625,55.445,178,"Data Version: 3.7 / Type: Timeseries / LatLon Resolution: 0.010 / Time Resolution: 60 minutes / Averaging Method: End of Period / TD: No / Copyright 2010-2023 Clean Power Research®, L.L.C. DownloadID=3ffd98bd-4956-4eed-814d-814670744ada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2)),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
03/01/1999,01:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,77,,,,,,,,,1,,,,,,,,,,,,,,,0.14,,,,,,
03/01/1999,02:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,78,,,,,,,,,1,,,,,,,,,,,,,,,0.14,,,,,,
03/01/1999,03:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,2,,,,,,,,,,,,,,,0.14,,,,,,
03/01/1999,04:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,82,,,,,,,,,2,,,,,,,,,,,,,,,0.14,,,,,,
03/01/1999,05:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,82,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,06:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,83,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,07:00,,,21,2,,91,2,,20,2,,,,,,,,,,,,,,,,,,,,26,,,,,,85,,,,,,,,,3,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,08:00,,,207,2,,537,2,,66,2,,,,,,,,,,,,,,,,,,,,26,,,,,,86,,,,,,,,,4,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,09:00,,,464,2,,769,2,,78,2,,,,,,,,,,,,,,,,,,,,26,,,,,,87,,,,,,,,,4,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,10:00,,,672,2,,779,2,,121,2,,,,,,,,,,,,,,,,,,,,26,,,,,,89,,,,,,,,,4,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,11:00,,,756,2,,645,2,,198,2,,,,,,,,,,,,,,,,,,,,26,,,,,,90,,,,,,,,,4,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,12:00,,,900,2,,737,2,,190,2,,,,,,,,,,,,,,,,,,,,26,,,,,,90,,,,,,,,,4,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,13:00,,,982,2,,759,2,,224,2,,,,,,,,,,,,,,,,,,,,26,,,,,,89,,,,,,,,,3,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,14:00,,,648,2,,324,2,,335,2,,,,,,,,,,,,,,,,,,,,26,,,,,,85,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,15:00,,,785,2,,613,2,,253,2,,,,,,,,,,,,,,,,,,,,27,,,,,,82,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,16:00,,,693,2,,810,2,,117,2,,,,,,,,,,,,,,,,,,,,27,,,,,,81,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,17:00,,,470,2,,763,2,,83,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,18:00,,,212,2,,496,2,,78,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,19:00,,,18,2,,40,2,,18,2,,,,,,,,,,,,,,,,,,,,27,,,,,,79,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,20:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,79,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,21:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,22:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/01/1999,23:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,00:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,01:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,81,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,02:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,03:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,04:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,05:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,06:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,0,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,07:00,,,21,2,,84,2,,20,2,,,,,,,,,,,,,,,,,,,,27,,,,,,81,,,,,,,,,0,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,08:00,,,204,2,,494,2,,74,2,,,,,,,,,,,,,,,,,,,,27,,,,,,81,,,,,,,,,0,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,09:00,,,420,2,,521,2,,158,2,,,,,,,,,,,,,,,,,,,,27,,,,,,82,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,10:00,,,484,2,,242,2,,313,2,,,,,,,,,,,,,,,,,,,,27,,,,,,82,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,11:00,,,691,2,,424,2,,324,2,,,,,,,,,,,,,,,,,,,,27,,,,,,82,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,12:00,,,607,2,,170,2,,443,2,,,,,,,,,,,,,,,,,,,,27,,,,,,82,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,13:00,,,680,2,,242,2,,438,2,,,,,,,,,,,,,,,,,,,,27,,,,,,81,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,14:00,,,604,2,,231,2,,381,2,,,,,,,,,,,,,,,,,,,,27,,,,,,79,,,,,,,,,0,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,15:00,,,558,2,,291,2,,306,2,,,,,,,,,,,,,,,,,,,,28,,,,,,78,,,,,,,,,0,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,16:00,,,603,2,,495,2,,251,2,,,,,,,,,,,,,,,,,,,,28,,,,,,78,,,,,,,,,0,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,17:00,,,380,2,,424,2,,165,2,,,,,,,,,,,,,,,,,,,,27,,,,,,79,,,,,,,,,0,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,18:00,,,113,2,,93,2,,88,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,0,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,19:00,,,4,2,,0,2,,4,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,20:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,28,,,,,,79,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,21:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,28,,,,,,79,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,22:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,28,,,,,,79,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/02/1999,23:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,28,,,,,,79,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,00:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,79,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,01:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,02:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,81,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,03:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,82,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,04:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,26,,,,,,82,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,05:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,26,,,,,,84,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,06:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,26,,,,,,85,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,07:00,,,17,2,,34,2,,17,2,,,,,,,,,,,,,,,,,,,,26,,,,,,86,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,08:00,,,207,2,,494,2,,76,2,,,,,,,,,,,,,,,,,,,,26,,,,,,87,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,09:00,,,462,2,,744,2,,88,2,,,,,,,,,,,,,,,,,,,,26,,,,,,87,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,10:00,,,693,2,,861,2,,83,2,,,,,,,,,,,,,,,,,,,,26,,,,,,86,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,11:00,,,883,2,,933,2,,75,2,,,,,,,,,,,,,,,,,,,,26,,,,,,84,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,12:00,,,1001,2,,946,2,,88,2,,,,,,,,,,,,,,,,,,,,27,,,,,,83,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,13:00,,,1017,2,,851,2,,167,2,,,,,,,,,,,,,,,,,,,,27,,,,,,81,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,14:00,,,824,2,,558,2,,285,2,,,,,,,,,,,,,,,,,,,,27,,,,,,78,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,15:00,,,877,2,,865,2,,127,2,,,,,,,,,,,,,,,,,,,,28,,,,,,76,,,,,,,,,3,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,16:00,,,669,2,,724,2,,155,2,,,,,,,,,,,,,,,,,,,,28,,,,,,75,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,17:00,,,433,2,,572,2,,144,2,,,,,,,,,,,,,,,,,,,,28,,,,,,75,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,18:00,,,176,2,,382,2,,74,2,,,,,,,,,,,,,,,,,,,,28,,,,,,76,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,19:00,,,20,2,,52,2,,19,2,,,,,,,,,,,,,,,,,,,,28,,,,,,77,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,20:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,28,,,,,,79,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,21:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,81,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,22:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,82,,,,,,,,,3,,,,,,,,,,,,,,,0.15,,,,,,
03/03/1999,23:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,83,,,,,,,,,3,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,00:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,85,,,,,,,,,3,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,01:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,85,,,,,,,,,3,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,02:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,27,,,,,,85,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,03:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,26,,,,,,85,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,04:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,26,,,,,,87,,,,,,,,,3,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,05:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,26,,,,,,88,,,,,,,,,3,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,06:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,26,,,,,,89,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,07:00,,,15,2,,16,2,,15,2,,,,,,,,,,,,,,,,,,,,26,,,,,,87,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,08:00,,,132,2,,114,2,,102,2,,,,,,,,,,,,,,,,,,,,26,,,,,,86,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,09:00,,,441,2,,576,2,,151,2,,,,,,,,,,,,,,,,,,,,26,,,,,,85,,,,,,,,,2,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,10:00,,,699,2,,861,2,,88,2,,,,,,,,,,,,,,,,,,,,27,,,,,,85,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,11:00,,,883,2,,933,2,,74,2,,,,,,,,,,,,,,,,,,,,27,,,,,,83,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,12:00,,,1001,2,,955,2,,79,2,,,,,,,,,,,,,,,,,,,,27,,,,,,82,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,13:00,,,1033,2,,921,2,,112,2,,,,,,,,,,,,,,,,,,,,27,,,,,,82,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
03/04/1999,14:00,,,943,2,,773,2,,196,2,,,,,,,,,,,,,,,,,,,,27,,,,,,80,,,,,,,,,1,,,,,,,,,,,,,,,0.15,,,,,,
